,Product Name,Prices,Product Ratings
0,"realme C31 (Dark Green, 32 GB)","₹9,299",4.5
1,"realme C31 (Light Silver, 32 GB)","₹9,299",4.5
2,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499",4.4
3,"POCO C31 (Royal Blue, 64 GB)","₹9,999",4.4
4,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499",4.4
5,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999",4.3
6,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999",4.3
7,"POCO M3 Pro 5G (Yellow, 128 GB)","₹12,499",4.2
8,"POCO C31 (Royal Blue, 32 GB)","₹8,999",4.4
9,"realme C31 (Light Silver, 64 GB)","₹9,999",4.4
10,"realme C31 (Dark Green, 64 GB)","₹9,999",4.4
11,"REDMI Note 10T 5G (Mint Green, 64 GB)","₹11,999",4.5
12,"MOTOROLA G60 (Moonless, 128 GB)","₹15,999",4.2
13,"POCO C31 (Shadow Gray, 64 GB)","₹9,999",4.4
14,"REDMI Note 10T 5G (Graphite Black, 64 GB)","₹11,999",4.5
15,"MOTOROLA e40 (Carbon Gray, 64 GB)","₹9,999",4.1
16,"REDMI Note 10T 5G (Mint Green, 128 GB)","₹13,999",4.3
17,"REDMI Note 10T 5G (Chromium White, 64 GB)","₹11,999",4.5
18,"MOTOROLA G60 (Dynamic Gray, 128 GB)","₹15,999",4.2
19,"REDMI Note 10T 5G (Graphite Black, 128 GB)","₹13,999",4.3
20,"realme C35 (Glowing Green, 64 GB)","₹11,999",4.4
21,"REDMI Note 10T 5G (Chromium White, 128 GB)","₹13,999",4.3
22,"realme C35 (Glowing Black, 64 GB)","₹11,999",4.4
23,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹11,999",4.5
